Question,Answer,Class
"What is the difference between IT, CCE and CSE?","All the three branches are computer
science related and there is not much
difference when it comes to the basics. All
the three branches students will be learning
JAVA, Data Structures and algorithms in
their 2nd year. The main difference comes in
3rd Year. CSE focuses on subjects like
Formal language and automata theory,
database systems and microprocessors.
CCE mainly focuses on advanced subjects
like advanced programming technologies
(python and ruby), embedded systems, and
network technologies. IT too is similar to
CCE just that it has more of application
oriented subjects.",syllabus
How is the Information Technology branch in Manipal?,"The IT branch in Manipal comes under the
ICT department. It is a really good branch
with faculty well versed in advanced
domains. This branch focuses more on
application and programming oriented
subjects.",it
How is the placement for IT?,"Placement is good. All eligible students are
getting placed in good companies.",placement
Can passed out students go for Master’s program outside country?,"Yes, definitely. Students will have plethora
of options to study masters in abroad.",masters
What is the scope in government sector?,"Students from this branch get equal opportunities in
government sector.",government
What is the ratio of girls and boys in the class?,"As of now majority of the branch is of boys,
but the number of girls are not less, there’s
nearly a 3:2 ratio.",ratio
What is the prospect of becoming entrepreneur after completing the course?,"One can become an entrepreneur if
he/she wishes. Curriculum provides open
electives and program electives as a
platform to innovate the ideas and
Incubation Center of MAHE nourishes the
innovative ideas by supporting to start the
company.",entrepreneur
What is the average package?,The average package is 7 to 7.5 lakhs per year,placement
What is the highest package?,The highest package offered is 39.6 lakhs by Microsoft,placement
Do companies that come for CSE also come for IT?,"Yes, all the companies that come for CSE
recruitments also come to IT",recruitments
"What are different specializations
available in IT?","Data Analytics, Machine learning, Artificial
intelligence, Soft Computing, Computer
Vision, System Software and many more.",specializations
"How is the practical / Project exposure
in IT?","The branch provides a lot of options for
projects in regular and specialized domains.
The branch gives more importance to
practical approach and projects. Most of the
faculty have good publications, patents and
are currently working on emerging
technologies, so working under them on
research is always a good exposure.",exposure
Is IT course AICTE approved?,Yes it is AICTE approved.,aicte
"How is the computer and
communication engineering branch at
Manipal?","The CCE branch at Manipal comes under
the ICT department. It is a really good
branch with faculty well versed in
advanced domains. This branch focuses
more on communication and networking
subjects.",cce
How is the placement for CCE?,"Placement is good. All eligible students are
getting placed in good companies.",placement
Do companies that come for CSE also come for CCE?,"Yes, all the companies that come for CSE
recruitments also come to CCE.",recruitments
"What are different specializations
available in CCE?","Advanced Network Systems(Mobile
computing), Big Data Analytics, Machine
learning, Artificial intelligence, Soft
Computing, Computer Vision and many
more.",specializations
Do companies that come for IT also come for CCE?,"Yes, all the companies that come for IT
recruitments also come to CCE.",recruitments
Is CCE course AICTE approved?,Yes it is AICTE approved.,aicte
"How is the practical / Project exposure
in CCE?","The branch provides a lot of options for
projects in regular and specialized domains.
The branch gives more importance to
practical approach and projects. Most of the
faculty have good publications, patents and
are currently working on emerging
technologies, so working under them on
research is always a good exposure.",exposure
"Whether separate paper exists for
GATE exam or they need to write the
paper of Computer Science?","As of now there is no separate paper for this branch
in GATE exam, students will have to write
the paper of computer science. But for a
student who is pursuing a Computer
Science related degree, learning 1-2
courses more shouldn’t pose a problem.
The syllabus can be found at:
(http://www.gate.iitg.ac.in)",gate
What is the difference between IT and CCE?,"CCE mainly focuses on advanced subjects
like advanced programming technologies
(python and ruby), embedded systems, and
network technologies. IT too is similar to
CCE just that it has more of application
oriented subjects.",syllabus
